SalesID,OrderDate,CustomerID,ProductID,SalesPersonID,StoreID,Quantity,UnitPrice,DiscountPct,SalesAmount,PaymentMethod,Channel,Returned,DeliveryDays,CustomerRating
22,2025-03-04,1067,87,22,4,10,60.85,10,547.65,NetBanking,Retail,No,10,2
23,2023-12-08,1317,21,42,13,10,537.62,10,4838.58,Cash,Online,No,9,4
24,2024-10-20,1095,85,42,14,3,542.69,20,1302.46,UPI,Online,No,5,2
25,2023-08-08,1158,88,5,10,8,169.76,5,1290.18,Card,Online,No,10,2
26,2024-09-03,1169,97,47,15,3,146.55,20,351.72,Card,Retail,No,4,4
27,2024-09-17,1316,73,31,7,8,202.52,5,1539.15,UPI,Retail,No,5,4
28,2024-05-29,1619,136,9,9,7,773.69,5,5145.04,Card,Retail,No,9,1
29,2024-12-29,1279,133,29,17,2,242.35,5,460.46,Cash,Retail,Yes,4,4
30,2023-12-24,1382,7,16,13,7,61.54,20,344.62,Card,Retail,Yes,1,3
31,2023-04-12,1039,183,19,16,6,637.28,5,3632.5,Cash,Retail,No,10,1
32,2023-03-23,1561,5,47,20,5,188.21,5,894.0,NetBanking,Online,No,4,3
33,2023-05-05,1468,13,5,4,4,347.46,20,1111.87,NetBanking,Online,Yes,3,3
34,2024-03-15,1426,1,12,3,10,295.2,20,2361.6,UPI,Online,Yes,7,4
35,2023-02-14,1765,163,2,12,7,785.21,10,4946.82,Card,Retail,Yes,2,5
36,2025-01-22,1559,194,22,6,6,124.06,10,669.92,NetBanking,Retail,Yes,3,1
37,2025-01-03,1044,199,13,2,8,48.85,5,371.26,UPI,Retail,No,9,4
38,2023-09-17,1671,10,22,9,4,243.17,0,972.68,Card,Retail,No,7,4
39,2024-01-31,1376,87,34,9,3,407.04,15,1037.95,Card,Retail,Yes,7,5
40,2025-04-22,1081,47,21,10,9,249.14,0,2242.26,UPI,Retail,No,3,4
41,2023-12-26,1629,115,28,9,1,586.92,10,528.23,Card,Online,No,6,5
42,2025-03-31,1622,192,44,15,3,763.18,5,2175.06,Card,Online,Yes,4,3
43,2024-01-06,1695,99,29,12,10,45.26,5,429.97,UPI,Retail,Yes,10,2
44,2024-06-26,1255,94,8,1,7,265.22,10,1670.89,Cash,Retail,No,9,1
45,2023-09-26,1626,199,19,16,5,569.15,5,2703.46,Cash,Online,Yes,2,4
46,2023-06-26,1683,183,23,3,8,797.86,10,5744.59,UPI,Retail,Yes,3,3
47,2024-06-04,1242,58,32,1,2,788.4,5,1497.96,UPI,Retail,No,9,2
48,2024-09-18,1538,23,27,14,2,261.25,15,444.12,Card,Online,No,2,4
49,2024-04-22,1655,175,38,6,9,288.72,20,2078.78,Cash,Retail,Yes,2,5
50,2023-06-06,1354,78,34,10,3,146.33,5,417.04,Card,Retail,Yes,9,3
51,2023-05-09,1514,161,42,6,5,499.25,0,2496.25,Cash,Online,No,10,1
52,2025-04-25,1271,8,42,7,2,55.46,20,88.74,NetBanking,Online,No,9,3
53,2024-10-19,1304,78,30,3,8,211.0,15,1434.8,Card,Online,No,7,4
54,2024-04-20,1735,53,21,12,6,493.2,10,2663.28,NetBanking,Online,No,9,5
55,2023-04-19,1460,82,16,5,4,383.85,10,1381.86,Card,Online,No,7,5
56,2024-03-04,1738,64,21,7,3,654.51,20,1570.82,Cash,Retail,No,8,3
57,2024-05-24,1468,6,16,7,2,757.28,20,1211.65,UPI,Online,Yes,5,4
58,2024-09-03,1110,168,28,5,8,242.88,0,1943.04,UPI,Retail,No,6,1
59,2024-02-15,1566,14,19,3,10,458.22,10,4123.98,NetBanking,Retail,No,10,5
60,2023-05-02,1571,33,24,5,2,327.24,10,589.03,Cash,Retail,Yes,1,1
61,2023-05-21,1467,183,10,20,6,647.09,20,3106.03,Cash,Retail,No,3,4
62,2024-09-23,1521,190,35,16,5,483.11,20,1932.44,UPI,Retail,Yes,6,3
63,2024-11-20,1611,29,31,9,7,475.29,0,3327.03,Cash,Online,No,3,5
64,2024-10-06,1151,185,44,8,10,624.19,15,5305.62,Card,Online,Yes,1,4
65,2023-11-18,1420,108,33,20,3,342.11,5,975.01,NetBanking,Online,Yes,9,2
66,2024-07-28,1177,84,30,18,8,429.87,10,3095.06,UPI,Retail,No,10,4
67,2023-07-16,1304,64,50,10,5,455.31,5,2162.72,Cash,Retail,No,8,3
68,2024-07-27,1692,185,35,13,5,244.48,20,977.92,NetBanking,Retail,Yes,5,1
69,2023-10-22,1671,183,17,16,2,290.16,15,493.27,Cash,Online,No,9,3
70,2023-05-21,1248,28,4,17,10,597.89,5,5679.95,Cash,Online,Yes,2,4
71,2023-12-05,1005,184,36,6,8,98.43,5,748.07,NetBanking,Retail,No,4,3
72,2023-11-25,1667,74,37,8,1,728.19,0,728.19,Card,Online,No,3,1
73,2025-05-06,1038,102,1,10,8,165.32,10,1190.3,Card,Retail,No,8,5
74,2024-06-20,1279,127,13,4,3,683.83,15,1743.77,UPI,Online,No,5,2
75,2023-01-15,1690,189,49,7,6,636.8,20,3056.64,Cash,Retail,No,9,3
76,2023-03-30,1488,103,21,8,2,164.13,5,311.85,Card,Retail,No,4,4
77,2025-02-10,1011,69,17,12,6,255.52,20,1226.5,Cash,Online,Yes,8,3
78,2023-06-13,1706,104,8,10,9,740.02,10,5994.16,UPI,Online,Yes,3,4
79,2023-06-06,1482,117,49,18,10,311.43,20,2491.44,Cash,Online,Yes,9,4
80,2024-06-24,1114,181,4,18,6,80.92,20,388.42,Cash,Online,Yes,6,5
81,2024-03-28,1093,30,33,15,4,579.2,15,1969.28,Card,Retail,Yes,9,4
82,2024-04-12,1740,145,2,13,1,455.86,10,410.27,UPI,Online,Yes,10,1
83,2023-02-16,1061,109,5,16,6,566.3,20,2718.24,Card,Retail,No,3,2
84,2025-02-23,1459,165,25,13,7,312.08,15,1856.88,Card,Online,No,2,2
85,2024-07-04,1003,101,49,1,9,119.33,5,1020.27,UPI,Retail,No,9,4
86,2025-04-23,1282,59,13,4,4,379.29,5,1441.3,Card,Retail,Yes,4,2
87,2023-03-10,1688,26,46,2,10,46.19,20,369.52,Cash,Online,No,8,2
88,2024-07-06,1239,56,47,19,1,129.31,10,116.38,UPI,Retail,Yes,5,2
89,2024-11-07,1062,134,36,19,4,342.58,10,1233.29,Cash,Retail,No,1,3
90,2024-10-20,1713,172,27,14,7,632.93,10,3987.46,Cash,Retail,No,3,5
91,2024-04-29,1474,62,4,18,4,254.57,5,967.37,NetBanking,Retail,Yes,7,2
92,2023-09-19,1379,53,6,18,6,524.43,15,2674.59,Cash,Online,No,7,5
93,2024-09-09,1741,11,43,18,2,166.77,20,266.83,Cash,Retail,Yes,6,3
94,2023-01-16,1764,55,49,16,4,770.42,0,3081.68,Cash,Online,No,4,5
95,2023-11-26,1664,199,23,10,5,316.92,20,1267.68,UPI,Retail,No,8,1
96,2025-04-02,1208,185,24,11,8,614.07,10,4421.3,NetBanking,Online,Yes,3,1
97,2023-09-25,1302,142,10,7,10,471.73,15,4009.7,UPI,Online,No,10,2
98,2024-05-26,1740,141,42,16,6,220.71,15,1125.62,NetBanking,Online,No,3,2
99,2025-01-07,1657,140,4,17,8,163.56,20,1046.78,Card,Online,Yes,1,4
100,2023-05-21,1009,162,14,17,4,73.01,5,277.44,NetBanking,Retail,Yes,10,5
101,2024-05-09,1564,169,27,1,8,32.27,20,206.53,Card,Retail,No,1,5
102,2025-04-12,1109,179,7,17,7,648.81,5,4314.59,Cash,Online,Yes,10,5
103,2023-09-16,1382,91,26,15,5,640.05,0,3200.25,Cash,Online,No,2,1
104,2023-04-06,1057,104,41,1,7,314.19,15,1869.43,Cash,Online,No,7,3
105,2024-08-02,1216,25,45,19,9,736.94,5,6300.84,NetBanking,Retail,Yes,2,3
106,2024-07-10,1016,145,14,19,1,159.9,10,143.91,Cash,Retail,Yes,5,2
107,2024-07-31,1693,62,35,11,10,671.03,15,5703.75,NetBanking,Online,Yes,9,3
108,2023-02-24,1348,26,39,20,7,201.07,0,1407.49,NetBanking,Retail,Yes,5,4
109,2024-05-17,1442,59,12,19,6,451.37,15,2301.99,NetBanking,Online,No,4,1
110,2023-03-26,1757,69,25,11,3,316.4,5,901.74,UPI,Online,Yes,1,3
111,2024-03-31,1191,93,28,15,5,99.74,0,498.7,NetBanking,Online,Yes,2,3
112,2024-07-21,1394,24,1,10,10,486.47,10,4378.23,NetBanking,Retail,Yes,9,2
113,2024-08-08,1142,134,18,10,3,554.55,5,1580.47,UPI,Retail,Yes,2,2
114,2024-03-21,1369,71,17,8,7,253.81,0,1776.67,NetBanking,Online,No,2,2
115,2023-11-08,1389,2,22,15,7,279.13,20,1563.13,UPI,Retail,Yes,5,3
116,2024-09-09,1407,178,21,10,4,393.63,5,1495.79,NetBanking,Online,No,7,3
117,2025-04-16,1204,101,38,18,6,108.83,20,522.38,Cash,Online,No,4,4
118,2025-03-27,1689,75,32,5,2,658.79,15,1119.94,UPI,Online,No,3,4
119,2025-03-19,1490,97,38,13,2,370.27,20,592.43,NetBanking,Online,No,9,5
120,2024-10-15,1170,22,42,20,2,619.78,10,1115.6,Card,Retail,No,7,1
121,2023-01-11,1571,26,38,19,5,193.16,20,772.64,Cash,Retail,No,7,4
122,2025-03-01,1353,174,2,16,10,558.54,5,5306.13,Card,Retail,No,2,1
123,2025-05-01,1466,187,14,17,3,291.7,10,787.59,NetBanking,Retail,No,2,4
124,2025-01-09,1045,179,46,4,8,268.75,10,1935.0,Card,Retail,Yes,3,2
125,2024-06-12,1436,45,30,8,9,144.91,20,1043.35,NetBanking,Online,Yes,7,4
126,2023-01-30,1606,189,28,13,10,708.82,15,6024.97,Card,Online,Yes,5,1
127,2024-08-14,1201,27,30,4,9,165.83,10,1343.22,UPI,Retail,No,10,4
128,2024-09-17,1468,101,40,6,10,109.1,10,981.9,UPI,Online,Yes,6,1
129,2023-09-02,1523,79,25,14,2,162.77,5,309.26,Cash,Retail,No,3,4
130,2024-10-12,1295,138,9,6,3,452.83,15,1154.72,UPI,Retail,Yes,6,1
131,2024-05-11,1517,35,42,16,4,655.87,20,2098.78,NetBanking,Retail,No,8,4
132,2023-06-21,1299,22,3,9,10,44.07,5,418.66,Cash,Retail,Yes,8,5
133,2025-01-30,1586,198,8,9,8,448.79,0,3590.32,UPI,Online,No,9,2
134,2024-03-11,1460,27,17,12,4,252.21,0,1008.84,Card,Retail,Yes,4,2
135,2025-04-10,1647,189,28,6,10,557.52,20,4460.16,Cash,Online,Yes,1,5
136,2023-12-26,1331,137,46,10,5,485.55,5,2306.36,UPI,Retail,Yes,3,4
137,2023-03-02,1255,71,10,11,3,567.11,5,1616.26,Cash,Retail,No,3,5
138,2024-10-09,1648,69,50,3,7,312.63,0,2188.41,NetBanking,Retail,No,8,4
139,2023-12-02,1748,149,30,12,1,697.75,0,697.75,Card,Retail,Yes,7,2
140,2024-05-21,1560,69,37,5,6,666.11,10,3596.99,NetBanking,Retail,Yes,1,1
141,2024-10-03,1451,118,30,1,1,116.9,5,111.06,NetBanking,Online,Yes,5,2
142,2025-06-14,1084,71,24,6,2,530.58,10,955.04,Card,Retail,No,4,4
143,2024-11-02,1079,24,9,19,2,20.85,15,35.45,Cash,Retail,Yes,1,3
144,2025-04-16,1072,31,15,13,7,561.34,15,3339.97,Card,Online,Yes,6,3
145,2023-11-03,1656,36,44,5,7,623.3,5,4144.94,Card,Online,Yes,8,3
146,2025-01-09,1703,55,29,7,3,737.52,20,1770.05,Card,Online,Yes,2,5
147,2025-01-17,1143,99,16,9,6,771.33,10,4165.18,Card,Online,No,1,3
148,2023-07-30,1302,133,42,2,10,417.43,15,3548.16,Cash,Retail,No,2,2
149,2024-05-26,1369,164,21,5,10,75.39,0,753.9,NetBanking,Retail,No,9,2
150,2025-02-20,1014,121,17,7,2,33.02,0,66.04,Card,Online,No,9,3
151,2024-10-05,1718,183,26,3,9,618.35,15,4730.38,Cash,Retail,Yes,5,1
152,2024-06-07,1600,53,41,3,3,438.38,15,1117.87,UPI,Retail,Yes,1,2
153,2023-03-30,1056,112,20,6,2,373.63,20,597.81,Card,Online,Yes,1,2
154,2024-05-23,1170,89,24,5,9,423.43,10,3429.78,UPI,Online,Yes,6,4
155,2023-10-06,1642,135,5,16,2,225.1,20,360.16,NetBanking,Retail,Yes,8,5
156,2023-06-20,1587,95,44,4,3,218.99,0,656.97,Cash,Online,Yes,1,2
157,2023-02-17,1183,121,3,18,6,318.72,5,1816.7,NetBanking,Online,No,4,4
158,2025-01-07,1381,82,8,17,5,664.28,20,2657.12,Card,Online,Yes,9,1
159,2024-02-15,1335,18,6,18,8,695.51,10,5007.67,NetBanking,Online,No,4,3
160,2024-07-31,1605,78,32,7,10,209.22,10,1882.98,Cash,Online,Yes,7,1
161,2023-08-27,1343,139,1,13,6,516.03,0,3096.18,UPI,Online,Yes,9,2
162,2024-03-05,1728,126,18,3,1,778.6,5,739.67,Card,Online,No,6,4
163,2025-02-04,1652,22,26,3,10,94.55,5,898.22,Card,Retail,Yes,4,3
164,2023-09-25,1325,81,29,9,7,566.57,10,3569.39,Cash,Online,Yes,3,5
165,2023-04-22,1321,40,27,4,2,148.21,15,251.96,UPI,Online,No,5,4
166,2023-09-29,1721,31,45,20,2,142.94,10,257.29,Card,Online,No,3,1
167,2024-12-29,1693,64,20,9,6,329.07,0,1974.42,Cash,Online,No,8,5
168,2025-02-05,1143,141,8,1,4,93.89,0,375.56,Card,Online,Yes,4,4
169,2024-01-17,1076,176,2,3,2,474.21,10,853.58,Cash,Retail,Yes,2,3
170,2023-05-06,1443,11,47,13,8,59.5,20,380.8,NetBanking,Online,No,7,2
171,2023-12-29,1152,55,3,20,3,234.49,15,597.95,Cash,Retail,No,7,5
172,2024-05-05,1429,16,13,17,2,238.23,5,452.64,Cash,Online,No,6,4
173,2024-07-11,1329,125,25,9,6,731.89,20,3513.07,Cash,Online,No,10,2
174,2023-01-31,1542,200,23,19,5,65.7,15,279.22,Cash,Online,Yes,4,2
175,2023-09-30,1589,137,25,12,1,615.96,5,585.16,Cash,Online,Yes,10,3
176,2025-04-05,1720,189,45,12,6,732.9,0,4397.4,Cash,Online,No,9,3
177,2023-06-29,1616,126,15,1,1,90.4,5,85.88,NetBanking,Online,No,10,2
178,2025-04-05,1060,34,2,5,6,579.21,10,3127.73,Cash,Online,No,2,3
179,2024-12-22,1309,170,21,5,7,477.09,10,3005.67,Cash,Retail,No,6,2
180,2024-12-25,1681,144,38,6,10,633.85,5,6021.57,NetBanking,Retail,No,3,2
181,2025-01-16,1033,1,12,20,10,325.45,20,2603.6,UPI,Online,Yes,8,2
182,2023-12-06,1171,191,41,3,2,205.64,10,370.15,UPI,Retail,Yes,5,2
183,2023-09-13,1737,178,1,2,2,293.38,0,586.76,NetBanking,Retail,No,3,4
184,2024-05-19,1490,97,37,8,6,445.9,0,2675.4,Cash,Retail,Yes,1,3
185,2023-01-21,1350,82,11,13,5,762.3,0,3811.5,Cash,Online,Yes,6,5
186,2024-09-20,1621,124,28,6,1,356.43,5,338.61,Card,Online,No,4,2
187,2024-02-24,1271,179,43,10,9,583.19,20,4198.97,UPI,Online,Yes,1,4
188,2024-08-08,1003,141,28,3,8,139.8,10,1006.56,UPI,Retail,Yes,2,1
189,2023-07-31,1118,44,20,13,5,782.11,15,3323.97,NetBanking,Retail,No,2,5
190,2024-02-01,1191,48,29,2,6,710.68,10,3837.67,UPI,Retail,No,5,2
191,2025-05-07,1087,69,43,12,10,68.08,0,680.8,NetBanking,Online,Yes,7,5
192,2024-03-04,1487,138,20,3,8,466.72,5,3547.07,NetBanking,Online,Yes,2,4
193,2023-06-27,1043,43,28,3,4,650.6,5,2472.28,NetBanking,Online,Yes,10,3
194,2023-11-24,1406,187,36,11,2,87.88,20,140.61,UPI,Retail,Yes,10,5
195,2024-06-19,1580,108,38,19,2,343.27,5,652.21,Card,Online,Yes,5,5
196,2023-12-19,1585,106,39,16,5,318.77,15,1354.77,Card,Online,No,7,2
197,2024-09-25,1707,156,16,2,7,50.25,10,316.57,NetBanking,Retail,No,1,3
198,2025-04-17,1712,78,44,4,5,238.67,15,1014.35,Cash,Online,No,8,3
199,2023-10-03,1192,187,29,7,7,491.88,0,3443.16,NetBanking,Retail,No,1,5
200,2025-03-21,1413,41,9,17,2,262.68,20,420.29,Card,Online,Yes,4,1
201,2023-09-13,1721,9,13,9,8,59.44,10,427.97,UPI,Retail,No,2,1
202,2023-09-05,1485,96,38,18,8,483.35,5,3673.46,UPI,Retail,Yes,5,1
203,2023-10-19,1798,8,14,8,7,58.73,20,328.89,Cash,Online,No,7,5
204,2023-01-21,1662,200,12,20,1,389.8,5,370.31,Card,Online,No,10,3
205,2024-12-30,1357,182,30,9,5,350.57,15,1489.92,Cash,Retail,No,9,5
206,2024-02-11,1574,150,42,20,2,25.73,10,46.31,UPI,Retail,Yes,8,1
207,2023-12-11,1671,71,46,10,6,691.96,10,3736.58,Cash,Online,Yes,1,5
208,2024-02-18,1671,170,32,10,6,550.99,0,3305.94,UPI,Retail,No,7,1
209,2024-08-20,1743,182,46,8,10,656.49,10,5908.41,NetBanking,Retail,No,3,5
210,2023-07-05,1742,76,36,6,2,387.21,10,696.98,UPI,Online,Yes,6,2
211,2025-02-01,1380,79,17,19,7,634.71,10,3998.67,UPI,Retail,Yes,8,1
212,2025-06-06,1072,163,31,7,10,472.64,20,3781.12,Card,Retail,No,7,1
213,2025-06-10,1419,39,37,15,3,794.03,10,2143.88,Cash,Retail,Yes,2,4
214,2023-12-07,1004,162,29,9,3,264.46,0,793.38,Cash,Online,Yes,8,1
215,2023-05-13,1439,158,31,13,7,514.12,15,3059.01,Card,Online,Yes,6,1
216,2023-11-26,1641,194,47,8,9,168.65,0,1517.85,Cash,Retail,No,3,1
217,2024-01-28,1046,129,20,10,10,258.77,0,2587.7,NetBanking,Retail,No,3,3
218,2024-05-16,1019,92,15,8,4,148.61,15,505.27,Cash,Online,Yes,10,5
219,2023-06-23,1384,32,41,9,6,574.67,0,3448.02,Card,Online,Yes,1,1
220,2024-12-07,1560,30,17,16,7,366.57,0,2565.99,Cash,Online,Yes,5,4
221,2024-11-08,1717,26,9,14,9,230.58,20,1660.18,Card,Online,No,2,1
222,2024-05-24,1535,51,13,12,10,175.8,10,1582.2,NetBanking,Retail,Yes,1,5
223,2024-05-23,1013,54,43,3,8,277.87,0,2222.96,Card,Retail,Yes,2,5
224,2023-03-18,1467,186,19,9,2,725.73,5,1378.89,NetBanking,Online,Yes,3,1
225,2025-05-22,1436,75,48,4,6,645.24,10,3484.3,Card,Online,Yes,3,2
226,2023-12-03,1750,92,6,12,8,764.97,10,5507.78,UPI,Online,Yes,7,4
227,2024-04-12,1431,70,42,6,7,558.12,15,3320.81,Card,Online,Yes,3,1
228,2024-03-02,1185,152,40,13,8,645.77,15,4391.24,UPI,Online,Yes,8,4
229,2023-04-26,1670,106,21,1,8,55.86,10,402.19,Cash,Retail,Yes,7,2
230,2024-05-08,1627,89,4,1,7,135.95,20,761.32,Cash,Retail,No,3,1
231,2025-02-08,1051,126,33,8,6,207.9,10,1122.66,NetBanking,Retail,Yes,2,4
232,2024-03-30,1457,147,21,4,8,88.66,15,602.89,NetBanking,Online,Yes,7,4
233,2023-02-06,1618,143,40,10,9,20.13,0,181.17,Cash,Retail,No,6,1
234,2025-04-16,1614,58,31,12,8,278.94,20,1785.22,NetBanking,Online,Yes,4,1
235,2023-12-16,1718,91,7,2,5,447.2,10,2012.4,Cash,Retail,Yes,7,1
236,2023-09-18,1220,157,30,7,4,166.28,15,565.35,UPI,Online,No,1,5
237,2023-05-07,1516,198,9,16,8,376.76,20,2411.26,Card,Online,No,10,4
238,2024-06-04,1748,200,9,4,3,559.62,5,1594.92,NetBanking,Retail,No,7,5
239,2024-12-10,1301,196,29,5,4,233.4,10,840.24,Cash,Retail,No,9,3
240,2024-12-29,1214,189,40,10,9,513.41,5,4389.66,UPI,Online,Yes,9,5
241,2024-12-11,1575,164,31,19,6,574.08,10,3100.03,NetBanking,Retail,No,1,5
242,2023-04-20,1204,7,18,6,7,133.35,0,933.45,UPI,Retail,Yes,1,3
243,2023-07-28,1104,193,40,18,9,45.2,15,345.78,Cash,Retail,Yes,9,3
244,2024-12-10,1426,171,44,11,1,742.66,15,631.26,Card,Online,No,4,5
245,2025-06-08,1773,200,38,18,8,667.39,10,4805.21,Cash,Online,No,8,2
246,2024-11-30,1122,20,25,2,3,770.73,20,1849.75,NetBanking,Retail,No,3,2
247,2024-08-21,1040,66,10,11,1,277.84,5,263.95,Card,Retail,No,10,5
248,2024-01-02,1533,19,5,17,6,429.81,5,2449.92,Cash,Retail,No,2,3
249,2023-08-15,1223,55,49,20,6,278.23,10,1502.44,NetBanking,Online,Yes,6,4
250,2023-09-04,1040,165,44,11,10,736.51,5,6996.85,NetBanking,Online,No,5,5
251,2025-01-11,1526,73,33,15,1,730.84,10,657.76,NetBanking,Online,No,4,3
252,2024-06-10,1546,22,1,3,2,150.57,20,240.91,Cash,Online,No,2,2
253,2024-07-04,1764,180,44,5,7,524.32,0,3670.24,Card,Retail,No,1,1
254,2023-03-17,1072,14,37,8,3,639.49,20,1534.78,UPI,Retail,No,8,4
255,2024-03-19,1547,81,1,20,1,323.81,0,323.81,Card,Online,Yes,6,5
256,2023-04-19,1783,75,29,13,5,493.12,10,2219.04,NetBanking,Online,No,3,5
257,2023-08-14,1302,35,41,5,7,641.48,20,3592.29,UPI,Retail,Yes,9,5
258,2023-05-25,1403,32,35,18,1,23.92,20,19.14,Card,Retail,Yes,6,2
259,2024-02-27,1226,166,40,9,9,131.11,5,1120.99,Cash,Online,Yes,10,1
260,2025-05-21,1074,193,19,3,9,379.79,20,2734.49,UPI,Online,Yes,10,4
261,2023-12-05,1102,92,19,20,3,543.61,5,1549.29,Card,Online,No,8,4
262,2023-12-03,1579,158,37,12,5,560.9,5,2664.28,UPI,Retail,Yes,1,3
263,2023-09-10,1137,57,44,11,7,235.81,10,1485.6,NetBanking,Retail,No,6,3
264,2024-05-13,1083,142,18,5,2,157.1,20,251.36,Cash,Retail,Yes,2,1
265,2025-05-19,1414,130,50,19,1,653.86,20,523.09,Cash,Online,No,9,5
266,2024-04-28,1790,168,38,10,3,305.34,5,870.22,Cash,Retail,Yes,7,3
267,2024-05-29,1700,3,11,17,4,681.43,20,2180.58,Cash,Retail,Yes,3,5
268,2024-08-02,1367,169,3,8,3,594.02,15,1514.75,NetBanking,Online,Yes,5,3
269,2023-08-28,1397,11,31,15,4,423.95,10,1526.22,Card,Online,No,2,5
270,2024-10-10,1178,71,25,13,5,471.33,20,1885.32,UPI,Online,No,7,2
271,2024-06-12,1498,104,31,20,6,657.44,10,3550.18,Card,Online,No,3,2
272,2023-03-20,1161,132,24,20,5,184.98,5,878.65,Card,Online,No,6,1
273,2024-05-08,1165,173,42,14,8,393.64,20,2519.3,Card,Online,Yes,3,5
274,2024-08-29,1586,42,10,2,3,511.04,0,1533.12,Cash,Retail,Yes,9,4
275,2024-09-05,1087,145,14,15,1,705.24,10,634.72,NetBanking,Retail,Yes,4,4
276,2024-09-07,1638,37,43,17,10,659.95,5,6269.52,UPI,Online,No,8,5
277,2024-08-27,1111,18,2,7,4,315.0,5,1197.0,NetBanking,Online,Yes,3,4
278,2024-09-21,1515,154,49,4,1,704.65,20,563.72,Card,Retail,Yes,10,5
279,2025-04-27,1044,1,45,17,7,427.19,10,2691.3,NetBanking,Online,No,7,3
280,2024-08-26,1260,190,31,8,10,96.22,5,914.09,Card,Retail,No,5,2
281,2023-01-06,1532,182,1,13,1,470.83,0,470.83,Cash,Retail,No,6,1
282,2023-06-08,1433,110,37,12,10,217.83,20,1742.64,UPI,Retail,Yes,7,5
283,2025-03-13,1568,143,31,9,8,159.4,20,1020.16,UPI,Retail,No,3,1
284,2025-02-04,1102,59,14,17,8,630.83,5,4794.31,NetBanking,Retail,Yes,3,4
285,2024-10-13,1614,2,28,3,2,662.14,15,1125.64,Card,Retail,Yes,6,1
286,2024-09-15,1628,10,42,17,7,745.93,15,4438.28,UPI,Online,Yes,8,4
287,2023-01-11,1613,52,33,17,9,243.09,0,2187.81,Cash,Online,Yes,6,2
288,2024-11-01,1798,1,26,12,3,87.74,10,236.9,NetBanking,Retail,Yes,9,1
289,2025-01-24,1291,181,47,18,2,736.96,20,1179.14,UPI,Retail,No,4,5
290,2023-07-19,1179,117,27,17,7,468.43,10,2951.11,Card,Online,No,6,1
291,2025-04-02,1256,132,45,15,5,703.37,20,2813.48,NetBanking,Retail,Yes,6,4
292,2024-11-28,1119,118,17,3,10,692.38,15,5885.23,NetBanking,Online,Yes,6,4
293,2023-12-28,1254,133,19,3,9,27.58,10,223.4,NetBanking,Retail,Yes,9,2
294,2024-05-02,1275,81,12,7,6,190.48,20,914.3,NetBanking,Online,Yes,4,3
295,2023-07-31,1364,59,10,4,4,671.25,20,2148.0,Card,Online,No,10,1
296,2025-02-21,1635,139,21,16,1,681.45,10,613.31,UPI,Retail,Yes,9,3
297,2024-02-12,1433,57,31,18,10,120.03,20,960.24,Card,Retail,No,3,4
298,2023-05-04,1012,179,44,7,9,378.86,0,3409.74,NetBanking,Online,No,6,5
299,2025-06-01,1275,67,31,20,3,447.88,5,1276.46,UPI,Retail,Yes,8,4
300,2023-08-04,1286,108,29,6,6,304.76,15,1554.28,Cash,Online,Yes,5,2
301,2024-07-22,1484,111,1,6,7,172.93,5,1149.98,NetBanking,Retail,Yes,9,5
302,2025-01-07,1581,81,4,13,8,254.03,20,1625.79,Card,Online,Yes,4,3
303,2024-05-02,1266,162,24,12,2,370.89,10,667.6,UPI,Retail,Yes,7,1
304,2023-12-26,1665,174,42,18,10,175.19,20,1401.52,Cash,Retail,No,6,5
